Method,,,Nanosecond,,,Linear Search,430,890,5340,68450,135770,
Linear Search,58,7,500,10,,Jump Search,680,1030,1850,4590,9830,
Linear Search,31,4,400,10,,Size,10,100,1000,10000,100000,1000000
Linear Search,8,1,300,10,,,,,,,,
Linear Search,7,0,300,10,,,,,,,,
Linear Search,28,5,400,10,,,,,,,,
Linear Search,36,7,500,10,,,,,,,,
Linear Search,66,9,600,10,,,,,,,,
Linear Search,40,6,400,10,,,,,,,,
Linear Search,34,6,400,10,,,,,,,,
Linear Search,49,9,500,10,,,,,,,,
Jump Search,58,7,700,10,,,,,,,,
Jump Search,31,4,800,10,,,,,,,,
Jump Search,8,1,600,10,,,,,,,,
Jump Search,7,0,500,10,,,,,,,,
Jump Search,28,5,700,10,,,,,,,,
Jump Search,36,7,700,10,,,,,,,,
Jump Search,66,9,700,10,,,,,,,,
Jump Search,40,6,600,10,,,,,,,,
Jump Search,34,6,700,10,,,,,,,,
Jump Search,49,9,800,10,,,,,,,,
Linear Search,153,35,700,100,,,,,,,,
Linear Search,239,47,1100,100,,,,,,,,
Linear Search,203,37,1000,100,,,,,,,,
Linear Search,168,34,700,100,,,,,,,,
Linear Search,164,29,600,100,,,,,,,,
Linear Search,289,58,900,100,,,,,,,,
Linear Search,215,43,800,100,,,,,,,,
Linear Search,445,75,1100,100,,,,,,,,
Linear Search,167,25,600,100,,,,,,,,
Linear Search,490,98,1400,100,,,,,,,,
Jump Search,153,35,1300,100,,,,,,,,
Jump Search,239,47,1000,100,,,,,,,,
Jump Search,203,37,900,100,,,,,,,,
Jump Search,168,34,800,100,,,,,,,,
Jump Search,164,29,1000,100,,,,,,,,
Jump Search,289,58,1100,100,,,,,,,,
Jump Search,215,43,900,100,,,,,,,,
Jump Search,445,75,1300,100,,,,,,,,
Jump Search,167,25,800,100,,,,,,,,
Jump Search,490,98,1200,100,,,,,,,,
Linear Search,2772,486,5500,1000,,,,,,,,
Linear Search,485,83,2800,1000,,,,,,,,
Linear Search,88,20,600,1000,,,,,,,,
Linear Search,4824,883,9500,1000,,,,,,,,
Linear Search,618,107,2100,1000,,,,,,,,
Linear Search,2232,397,4600,1000,,,,,,,,
Linear Search,1802,329,3900,1000,,,,,,,,
Linear Search,4662,843,9700,1000,,,,,,,,
Linear Search,1726,306,3600,1000,,,,,,,,
Linear Search,4479,833,11100,1000,,,,,,,,
Jump Search,2772,486,2000,1000,,,,,,,,
Jump Search,485,83,1300,1000,,,,,,,,
Jump Search,88,20,1100,1000,,,,,,,,
Jump Search,4824,883,2200,1000,,,,,,,,
Jump Search,618,107,1100,1000,,,,,,,,
Jump Search,2232,397,1900,1000,,,,,,,,
Jump Search,1802,329,1600,1000,,,,,,,,
Jump Search,4662,843,1900,1000,,,,,,,,
Jump Search,1726,306,1800,1000,,,,,,,,
Jump Search,4479,833,3600,1000,,,,,,,,
Linear Search,3530,645,7700,10000,,,,,,,,
Linear Search,51866,9446,104100,10000,,,,,,,,
Linear Search,50929,9316,92400,10000,,,,,,,,
Linear Search,10979,2012,21700,10000,,,,,,,,
Linear Search,37458,6775,73700,10000,,,,,,,,
Linear Search,37458,6775,73700,10000,,,,,,,,
Linear Search,31078,5675,58800,10000,,,,,,,,
Linear Search,46286,8331,90400,10000,,,,,,,,
Linear Search,33096,6038,65900,10000,,,,,,,,
Linear Search,44270,8030,96100,10000,,,,,,,,
Jump Search,3530,645,2300,10000,,,,,,,,
Jump Search,51866,9446,5700,10000,,,,,,,,
Jump Search,50929,9316,5300,10000,,,,,,,,
Jump Search,10979,2012,1800,10000,,,,,,,,
Jump Search,37458,6775,5400,10000,,,,,,,,
Jump Search,37458,6775,5400,10000,,,,,,,,
Jump Search,31078,5675,5100,10000,,,,,,,,
Jump Search,46286,8331,5100,10000,,,,,,,,
Jump Search,33096,6038,4300,10000,,,,,,,,
Jump Search,44270,8030,5500,10000,,,,,,,,
Linear Search,540214,98212,849000,100000,,,,,,,,
Linear Search,258845,46986,117800,100000,,,,,,,,
Linear Search,10074,1832,4600,100000,,,,,,,,
Linear Search,217309,39570,95700,100000,,,,,,,,
Linear Search,86020,15608,38200,100000,,,,,,,,
Linear Search,73200,13329,32300,100000,,,,,,,,
Linear Search,21458,3906,10400,100000,,,,,,,,
Linear Search,245919,44693,108600,100000,,,,,,,,
Linear Search,105480,19258,49100,100000,,,,,,,,
Linear Search,233428,42363,52000,100000,,,,,,,,
Jump Search,540214,98212,23500,100000,,,,,,,,
Jump Search,258845,46986,13300,100000,,,,,,,,
Jump Search,10074,1832,7800,100000,,,,,,,,
Jump Search,217309,39570,8300,100000,,,,,,,,
Jump Search,86020,15608,6300,100000,,,,,,,,
Jump Search,73200,13329,3900,100000,,,,,,,,
Jump Search,21458,3906,4400,100000,,,,,,,,
Jump Search,245919,44693,11700,100000,,,,,,,,
Jump Search,105480,19258,12000,100000,,,,,,,,
Jump Search,233428,42363,7100,100000,,,,,,,,
Linear Search,2104894,381968,1759300
Jump Search,2104894,381968,334800
Linear Search,3077117,559665,268000
Jump Search,3077117,559665,45200
Linear Search,3852610,700496,234600
Jump Search,3852610,700496,46200
Linear Search,3677208,667993,87400
Jump Search,3677208,667993,70700
Linear Search,2885424,525152,72400
Jump Search,2885424,525152,24300
Linear Search,5272878,959026,129900
Jump Search,5272878,959026,40600
Linear Search,4095710,745045,98500
Jump Search,4095710,745045,31300
Linear Search,5492491,998701,135600
Jump Search,5492491,998701,59100
Linear Search,2328693,423705,98700
Jump Search,2328693,423705,35400
Linear Search,5260135,956604,126700
Jump Search,5260135,956604,81700
Linear Search,4031000,732598,100200
Jump Search,4031000,732598,45200
